name;description;price;categories;quantity;images;source_url;color;material
Allium Insulated Jacket Men's;Allium Insulated Jacket Men's;1200;Clothing/Men;3;https://images.arcteryx.com/details/1350x1710/F25-X000009161-Allium-Insulated-Jacket-Black-Sapphire-Front-View.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009161-Allium-Insulated-Jacket-Black-Sapphire-Front-View.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/allium-insulated-jacket-9161;Black;Nylon
Alpha Jacket Men's;Alpha Jacket Men's;2800;Clothing/Men;6;https://images.arcteryx.com/details/1350x1710/F25-X000009898-Alpha-Jacket-Graphite-Black-Front-View.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009898-Alpha-Jacket-Graphite-Black-Front-View.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/alpha-jacket-9898;Black;GORE-TEX
Alpha SV Bib Pant Men's;Alpha SV Bib Pant Men's;3000;Clothing/Men;6;https://images.arcteryx.com/details/1350x1710/F25-X000009900-Alpha-SV-Bib-Pant-Dynasty-Front-View.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009900-Alpha-SV-Bib-Pant-Dynasty-Front-View.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/alpha-sv-bib-pant-9900;;GORE-TEX
Alpha SV Jacket Men's;Alpha SV Jacket Men's;3600;Clothing/Men;5;https://images.arcteryx.com/details/1350x1710/F25-X000009989-Alpha-SV-Jacket-Dynasty-Black-Front-View.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009989-Alpha-SV-Jacket-Dynasty-Black-Front-View.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/alpha-sv-jacket-9899;Black;GORE-TEX
Alpine Guide Jacket Men's;Alpine Guide Jacket Men's;3200;Clothing/Men;6;https://images.arcteryx.com/details/1350x1710/F25-X000008963-Alpine-Guide-Jacket-Fluidity-Front-View.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000008963-Alpine-Guide-Jacket-Fluidity-Front-View.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/alpine-guide-jacket-8963;Red;GORE-TEX
Altus Down Jacket Men's;Altus Down Jacket Men's;5600;Clothing/Men;10;https://images.arcteryx.com/details/1350x1710/F25-X000009879-Altus-Down-Jacket-Black-Front-View.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009879-Altus-Down-Jacket-Black-Front-View.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/altus-down-jacket-9879;Black;GORE-TEX
AR-395a Harness Men's;AR-395a Harness Men's;640;Accessories/Men;5;https://images.arcteryx.com/details/1350x1710/S25-X000004883-AR-395a-Harness-Yukon-Edziza-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/S25-X000004883-AR-395a-Harness-Yukon-Edziza-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/ar-395a-harness;;
Arris Jacket Men's;Arris Jacket Men's;3200;Clothing/Men;2;https://images.arcteryx.com/details/1350x1710/F25-X000009479-Arris-Jacket-Black-Front-View.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009479-Arris-Jacket-Black-Front-View.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/arris-jacket-9479;Black;GORE-TEX
Atom Hoody Men's;Atom Hoody Men's;1200;Clothing/Men;6;https://images.arcteryx.com/details/1350x1710/F25-X000009556-Atom-Hoody-Carob-Blk-Dynasty-Front-View.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009556-Atom-Hoody-Carob-Blk-Dynasty-Front-View.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/atom-hoody-9556;Red;Down
Atom Jacket Men's;Atom Jacket Men's;1120;Clothing/Men;8;https://images.arcteryx.com/details/1350x1710/F25-X000009561-Atom-Jacket-Black-Front-View.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009561-Atom-Jacket-Black-Front-View.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/mens/atom-jacket-9561;Black;Down
